rep_id, size, block_size, BLAS, MPI, grid, time
0, 4, 4, 0, 0, 1x1, 4.61e-07
1, 4, 4, 0, 0, 1x1, 2.4e-07
2, 4, 4, 0, 0, 1x1, 1.41e-07
3, 4, 4, 0, 0, 1x1, 1.4e-07
4, 4, 4, 0, 0, 1x1, 1.31e-07
5, 4, 4, 0, 0, 1x1, 1.3e-07
6, 4, 4, 0, 0, 1x1, 1.4e-07
7, 4, 4, 0, 0, 1x1, 1.31e-07
8, 4, 4, 0, 0, 1x1, 1.1e-07
9, 4, 4, 0, 0, 1x1, 1.1e-07
10, 4, 4, 0, 0, 1x1, 1.1e-07
11, 4, 4, 0, 0, 1x1, 1e-07
12, 4, 4, 0, 0, 1x1, 1.1e-07
13, 4, 4, 0, 0, 1x1, 1.1e-07
14, 4, 4, 0, 0, 1x1, 1.1e-07
15, 4, 4, 0, 0, 1x1, 1.11e-07
16, 4, 4, 0, 0, 1x1, 1.1e-07
17, 4, 4, 0, 0, 1x1, 1.1e-07
18, 4, 4, 0, 0, 1x1, 1.11e-07
19, 4, 4, 0, 0, 1x1, 1.1e-07
20, 4, 4, 0, 0, 1x1, 1.1e-07
21, 4, 4, 0, 0, 1x1, 1.01e-07
22, 4, 4, 0, 0, 1x1, 1e-07
23, 4, 4, 0, 0, 1x1, 1.1e-07
24, 4, 4, 0, 0, 1x1, 1.01e-07
25, 4, 4, 0, 0, 1x1, 1.1e-07
26, 4, 4, 0, 0, 1x1, 1.1e-07
27, 4, 4, 0, 0, 1x1, 1.11e-07
28, 4, 4, 0, 0, 1x1, 1.1e-07
29, 4, 4, 0, 0, 1x1, 1.1e-07
